date,rank,song,artist,last-week,peak-rank,weeks-on-board
29/12/90,1,Because I Love You (The Postman Song),Stevie B,1,1,13
29/12/90,2,Justify My Love,Madonna,2,2,7
29/12/90,3,From A Distance,Bette Midler,3,2,13
29/12/90,4,Impulsive,Wilson Phillips,4,4,12
29/12/90,5,Tom's Diner,DNA Featuring Suzanne Vega,5,5,13
29/12/90,6,High Enough,Damn Yankees,6,6,15
29/12/90,7,I'm Your Baby Tonight,Whitney Houston,7,1,11
29/12/90,8,Freedom,George Michael,8,8,10
29/12/90,9,The Way You Do The Things You Do,UB40,9,6,16
29/12/90,10,Sensitivity,Ralph Tresvant,10,10,9
29/12/90,11,Love Will Never Do (Without You),Janet Jackson,11,11,7
29/12/90,12,"Miracle (From ""Young Guns II"")",Jon Bon Jovi,12,12,10
29/12/90,13,Something To Believe In,Poison,13,4,13
29/12/90,14,Love Takes Time,Mariah Carey,14,1,16
29/12/90,15,Groove Is In The Heart,Deee-Lite,15,4,16
29/12/90,16,The First Time,Surface,16,16,9
29/12/90,17,Miles Away,Winger,17,17,12
29/12/90,18,One And Only Man,Steve Winwood,18,18,9
29/12/90,19,Wiggle It,2 In A Room,19,15,13
29/12/90,20,After The Rain,Nelson,20,20,9
29/12/90,21,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,21,21,7
29/12/90,22,Feels Good,Tony Toni Tone,22,9,18
29/12/90,23,Play That Funky Music,Vanilla Ice,23,23,4
29/12/90,24,Just Another Dream,Cathy Dennis,24,24,10
29/12/90,25,I'm Not In Love,Will To Power,25,25,7
29/12/90,26,For You,The Outfield,26,26,9
29/12/90,27,Hang In Long Enough,Phil Collins,27,27,8
29/12/90,28,More Than Words Can Say,Alias,28,2,17
29/12/90,29,On The Way Up,Elisa Fiorillo,29,29,14
29/12/90,30,Stranded,Heart,30,13,15
29/12/90,31,Fairweather Friend,Johnny Gill,31,28,11
29/12/90,32,Anything Is Possible,Debbie Gibson,32,32,7
29/12/90,33,You're Amazing,Robert Palmer,33,33,7
29/12/90,34,Gentle,Dino,34,34,8
29/12/90,35,Ice Ice Baby,Vanilla Ice,35,1,17
29/12/90,36,I'll Give All My Love To You,Keith Sweat,36,36,5
29/12/90,37,My Love Is A Fire,Donny Osmond,37,21,12
29/12/90,38,Knockin' Boots,Candyman,38,9,18
29/12/90,39,Disappear,INXS,39,39,6
29/12/90,40,Unchained Melody,The Righteous Brothers,40,19,13
29/12/90,41,Around The Way Girl,LL Cool J,41,41,5
29/12/90,42,So Close,Daryl Hall John Oates,42,11,14
29/12/90,43,Does She Love That Man?,Breathe Featuring David Glasper,43,43,7
29/12/90,44,The Ghetto,Too $hort,44,44,7
29/12/90,45,You Gotta Love Someone,Elton John,45,45,6
29/12/90,46,I Saw Red,Warrant,46,46,5
29/12/90,47,Pray,M.C. Hammer,47,2,14
29/12/90,48,New York Minute,Don Henley,48,48,8
29/12/90,49,The Shoop Shoop Song (It's In His Kiss),Cher,49,49,6
29/12/90,50,Hard To Handle,The Black Crowes,50,45,10
29/12/90,51,Where Does My Heart Beat Now,Celine Dion,51,51,4
29/12/90,52,World In My Eyes,Depeche Mode,52,52,6
29/12/90,53,All The Man That I Need,Whitney Houston,53,53,2
29/12/90,54,Hippychick,Soho,54,14,17
29/12/90,55,Love Makes Things Happen,Pebbles,55,55,5
29/12/90,56,If You Needed Somebody,Bad Company,56,56,8
29/12/90,57,B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,57,26,12
29/12/90,58,No Matter What,George LaMond (Duet With Brenda K. Starr),58,58,5
29/12/90,59,I Don't Have The Heart,James Ingram,59,1,22
29/12/90,60,Moneytalks,AC/DC,60,60,4
29/12/90,61,Candy,Iggy Pop With Kate Pierson,61,61,6
29/12/90,62,Heat Of The Moment,After 7,62,62,18
29/12/90,63,Close To You,Maxi Priest,63,1,27
29/12/90,64,Wicked Game,Chris Isaak,64,64,5
29/12/90,65,I Wanna Get With U,Guy,65,50,8
29/12/90,66,It Never Rains (In Southern California),Tony Toni Tone,66,66,2
29/12/90,67,Shelter Me,Cinderella,67,67,4
29/12/90,68,I Don't Know Anybody Else,Black Box,68,68,4
29/12/90,69,Can't Stop,After 7,69,6,23
29/12/90,70,Go For It! (Heart And Fire),Joey B. Ellis & Tynetta Hare,70,70,4
29/12/90,71,House Full Of Reasons,Jude Cole,71,71,5
29/12/90,72,Think,Information Society,72,28,13
29/12/90,73,Give It To Me Good,Trixter,73,73,5
29/12/90,74,Show Me The Way,Styx,74,74,4
29/12/90,75,Round And Round,Tevin Campbell,75,75,4
29/12/90,76,Giving You The Benefit,Pebbles,76,4,20
29/12/90,77,Just A Little Bit Longer,Maxi Priest,77,77,4
29/12/90,78,Deeper Shade Of Soul,Urban Dance Squad,78,78,3
29/12/90,79,Get Here,Oleta Adams,79,79,3
29/12/90,80,And So It Goes,Billy Joel,80,37,11
29/12/90,81,Cherry Pie,Warrant,81,10,17
29/12/90,82,Crash (Have Some Fun),TKA Featuring Michelle Visage,82,80,5
29/12/90,83,Joey,Concrete Blonde,83,19,20
29/12/90,84,Use It Up And Wear It Out,Pat & Mick,84,84,3
29/12/90,85,Melt In Your Mouth,Candyman,85,85,3
29/12/90,86,This Is Ponderous,2nu,86,86,2
29/12/90,87,Lyin' To Myself,David Cassidy,87,27,15
29/12/90,88,Missunderstanding,Al B. Sure!,88,42,12
29/12/90,89,This House,Tracie Spencer,89,89,2
29/12/90,90,The Swalk,Notorious,90,90,3
29/12/90,91,I Found Love,The Party,91,79,9
29/12/90,92,One More Try,Timmy T.,92,92,2
29/12/90,93,The Obvious Child,Paul Simon,93,93,3
29/12/90,94,(Can't Live Without Your) Love And Affection,Nelson,94,1,26
29/12/90,95,Wherever Would I Be,Cheap Trick,95,50,10
29/12/90,96,Spend My Life,Slaughter,96,96,2
29/12/90,97,Unchained Melody,The Righteous Brothers,97,4,19
29/12/90,98,Black Cat,Janet Jackson,98,1,16
29/12/90,99,Love Me Just For Me,Special Generation,99,91,4
29/12/90,100,Something Happened On The Way To Heaven,Phil Collins,100,4,22
22/12/90,1,Because I Love You (The Postman Song),Stevie B,1,1,12
22/12/90,2,Justify My Love,Madonna,4,2,6
22/12/90,3,From A Distance,Bette Midler,2,2,12
22/12/90,4,Impulsive,Wilson Phillips,5,4,11
22/12/90,5,Tom's Diner,DNA Featuring Suzanne Vega,7,5,12
22/12/90,6,High Enough,Damn Yankees,10,6,14
22/12/90,7,I'm Your Baby Tonight,Whitney Houston,3,1,10
22/12/90,8,Freedom,George Michael,9,8,9
22/12/90,9,The Way You Do The Things You Do,UB40,6,6,15
22/12/90,10,Sensitivity,Ralph Tresvant,14,10,8
22/12/90,11,Love Will Never Do (Without You),Janet Jackson,17,11,6
22/12/90,12,"Miracle (From ""Young Guns II"")",Jon Bon Jovi,13,12,9
22/12/90,13,Something To Believe In,Poison,8,4,12
22/12/90,14,Love Takes Time,Mariah Carey,12,1,15
22/12/90,15,Groove Is In The Heart,Deee-Lite,11,4,15
22/12/90,16,The First Time,Surface,19,16,8
22/12/90,17,Miles Away,Winger,18,17,11
22/12/90,18,One And Only Man,Steve Winwood,22,18,8
22/12/90,19,Wiggle It,2 In A Room,15,15,12
22/12/90,20,After The Rain,Nelson,24,20,8
22/12/90,21,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,30,21,6
22/12/90,22,Feels Good,Tony Toni Tone,16,9,17
22/12/90,23,Play That Funky Music,Vanilla Ice,37,23,3
22/12/90,24,Just Another Dream,Cathy Dennis,25,24,9
22/12/90,25,I'm Not In Love,Will To Power,27,25,6
22/12/90,26,For You,The Outfield,32,26,8
22/12/90,27,Hang In Long Enough,Phil Collins,33,27,7
22/12/90,28,More Than Words Can Say,Alias,21,2,16
22/12/90,29,On The Way Up,Elisa Fiorillo,34,29,13
22/12/90,30,Stranded,Heart,20,13,14
22/12/90,31,Fairweather Friend,Johnny Gill,28,28,10
22/12/90,32,Anything Is Possible,Debbie Gibson,35,32,6
22/12/90,33,You're Amazing,Robert Palmer,41,33,6
22/12/90,34,Gentle,Dino,42,34,7
22/12/90,35,Ice Ice Baby,Vanilla Ice,29,1,16
22/12/90,36,I'll Give All My Love To You,Keith Sweat,44,36,4
22/12/90,37,My Love Is A Fire,Donny Osmond,23,21,11
22/12/90,38,Knockin' Boots,Candyman,26,9,17
22/12/90,39,Disappear,INXS,46,39,5
22/12/90,40,Unchained Melody,The Righteous Brothers,39,19,12
22/12/90,41,Around The Way Girl,LL Cool J,52,41,4
22/12/90,42,So Close,Daryl Hall John Oates,31,11,13
22/12/90,43,Does She Love That Man?,Breathe Featuring David Glasper,48,43,6
22/12/90,44,The Ghetto,Too $hort,50,44,6
22/12/90,45,You Gotta Love Someone,Elton John,51,45,5
22/12/90,46,I Saw Red,Warrant,58,46,4
22/12/90,47,Pray,M.C. Hammer,36,2,13
22/12/90,48,New York Minute,Don Henley,49,48,7
22/12/90,49,The Shoop Shoop Song (It's In His Kiss),Cher,55,49,5
22/12/90,50,Hard To Handle,The Black Crowes,45,45,9
22/12/90,51,Where Does My Heart Beat Now,Celine Dion,65,51,3
22/12/90,52,World In My Eyes,Depeche Mode,53,52,5
22/12/90,53,All The Man That I Need,Whitney Houston,,53,1
