date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
11/7/20,"Circles, Post Malone",Circles,Post Malone,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,6.942164179104477
11/2/19,"Sunflower (Spider-Man: Into The Spider-Verse), Post Malone",Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,157560.0,5.697768762677485
3/3/18,"Shape Of You, Ed Sheeran",Shape Of You,Ed Sheeran,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,5.216463414634147
12/26/20,"Blinding Lights, The Weeknd",Blinding Lights,The Weeknd,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,5.016583747927031
3/5/16,"Uptown Funk!, Mark Ronson",Uptown Funk!,Mark Ronson,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667.0,4.525252525252526
6/1/19,"Girls Like You, Maroon 5",Girls Like You,Maroon 5,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,235545.0,4.440065681444992
10/12/19,"Without Me, Halsey",Without Me,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661.0,4.244897959183673
8/12/17,"Closer, The Chainsmokers",Closer,The Chainsmokers,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,244960.0,4.029806259314456
3/14/20,"Bad Guy, Billie Eilish",Bad Guy,Billie Eilish,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,3.9555189456342665
7/7/18,"Rockstar, Post Malone",Rockstar,Post Malone,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147.0,3.787528868360277
12/26/20,"Rockstar, DaBaby",Rockstar,DaBaby,0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,3.780864197530864
12/26/20,"Laugh Now Cry Later, Drake",Laugh Now Cry Later,Drake,0.761,0.518,0.0,-8.871,1.0,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493.0,3.724137931034483
10/6/18,"God's Plan, Drake",God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973.0,3.5121951219512195
8/24/19,"Happier, Marshmello",Happier,Marshmello,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.011,214290.0,3.4533844189016603
10/6/18,"Perfect, Ed Sheeran",Perfect,Ed Sheeran,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,3.4029850746268657
5/7/16,"The Hills, The Weeknd",The Hills,The Weeknd,0.585,0.564,0.0,-7.063,0.0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253.0,3.3439767779390417
1/18/20,"Old Town Road, Lil Nas X",Old Town Road,Lil Nas X,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0,3.271405493
8/10/19,"Sicko Mode, Travis Scott",Sicko Mode,Travis Scott,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,3.2075919335705816
3/14/20,"Senorita, Shawn Mendes",Senorita,Shawn Mendes,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800.0,3.191142191142191
5/7/16,"Hello, Adele",Hello,Adele,0.578,0.43,5.0,-6.134,0.0,0.0305,0.33,0.0,0.0854,0.288,78.991,295502.0,3.18867924528302
